SampleID	Plant	Scientific.name	Genotype	Compartment	Site	Plot	Replicate	Month	Year	Collection.Date	Days.after.Emergence	Sample.name	SampleCont
G2R3_1_M12	Energy Sorghum	Sorghum bicolor	TAM17651	Mucilage	Fertilized	R3	e	August	2020	20-Aug	60DAE	G2R3_1_M12	FALSE
G2R3_1_NF2	Energy Sorghum	Sorghum bicolor	TAM17651	Mucilage	Non.Fertilized	R3	a	August	2020	20-Aug	60DAE	G2R3_1_NF2	FALSE
G2R3_1_NF8	Energy Sorghum	Sorghum bicolor	TAM17651	Mucilage	Non.Fertilized	R3	b	August	2020	20-Aug	60DAE	G2R3_1_NF8	FALSE
G2R3_1_NF11	Energy Sorghum	Sorghum bicolor	TAM17651	Mucilage	Non.Fertilized	R3	c	August	2020	20-Aug	60DAE	G2R3_1_NF11	FALSE
G2R3_1_NF12	Energy Sorghum	Sorghum bicolor	TAM17651	Mucilage	Non.Fertilized	R3	d	August	2020	20-Aug	60DAE	G2R3_1_NF12	FALSE
G2R3_1_NF7	Energy Sorghum	Sorghum bicolor	TAM17651	Mucilage	Non.Fertilized	R3	e	August	2020	20-Aug	60DAE	G2R3_1_NF7	FALSE
G2R3_1_NF4	Energy Sorghum	Sorghum bicolor	TAM17651	Mucilage	Non.Fertilized	R3	f	August	2020	20-Aug	60DAE	G2R3_1_NF4	FALSE
G2R4_1_M1	Energy Sorghum	Sorghum bicolor	TAM17651	Mucilage	Fertilized	R4	a	August	2020	20-Aug	60DAE	G2R4_1_M1	FALSE
G2R4_1_M4	Energy Sorghum	Sorghum bicolor	TAM17651	Mucilage	Fertilized	R4	b	August	2020	20-Aug	60DAE	G2R4_1_M4	FALSE
G2R4_1_M6	Energy Sorghum	Sorghum bicolor	TAM17651	Mucilage	Fertilized	R4	c	August	2020	20-Aug	60DAE	G2R4_1_M6	FALSE
G2R4_1_M10	Energy Sorghum	Sorghum bicolor	TAM17651	Mucilage	Fertilized	R4	d	August	2020	20-Aug	60DAE	G2R4_1_M10	FALSE
G2R4_1_M11	Energy Sorghum	Sorghum bicolor	TAM17651	Mucilage	Fertilized	R4	e	August	2020	20-Aug	60DAE	G2R4_1_M11	FALSE
G2R4_1_NF1	Energy Sorghum	Sorghum bicolor	TAM17651	Mucilage	Non.Fertilized	R4	a	August	2020	20-Aug	60DAE	G2R4_1_NF1	FALSE
G2R4_1_NF2	Energy Sorghum	Sorghum bicolor	TAM17651	Mucilage	Non.Fertilized	R4	b	August	2020	20-Aug	60DAE	G2R4_1_NF2	FALSE
G2R4_1_NF4	Energy Sorghum	Sorghum bicolor	TAM17651	Mucilage	Non.Fertilized	R4	c	August	2020	20-Aug	60DAE	G2R4_1_NF4	FALSE
